OrderID,ProductName,ProductCategory,CustomerName,CustomerCategory,Month,Zone,Units Sold,Per Unit Price,Sales Commission Paid
1,Car Tyres Rapid,Car,alpha motors pvt ltd ,Big,January,East,77,131.22,532.59
2,Car Tyres Rapid,Car, alpha motors pvt ltd,Big,January,South,16,131.37,121.74
3,Car Tyres Rapid,Car, alpha motors pvt ltd,Big,January,West,35,197.6,384.94
4,Car Tyres Rapid,Car,BRAVO AUTO CORP,Medium,January,East,74,111.72,437.32
5,Car Tyres Rapid,Car, BRAVO AUTO CORP,Medium,January,Central,30,191.15,307.06
6,Car Tyres Rapid,Car,BRAVO AUTO CORP,Medium,January,East,65,173.27,673.35
7,Car Tyres Rapid,Car,bravo auto corp,Medium,January,East,83,197.18,879.83
8,Car Tyres Rapid,Car, CHARLIE TRANSPORT LTD ,Big,January,South,64,127.96,427.9
9,Car Tyres Rapid,Car,CHARLIE TRANSPORT LTD,Big,January,North,17,145.56,124.96
10,Car Tyres Rapid,Car,CHARLIE TRANSPORT LTD,Big,January,West,86,112.27,528.92
11,Car Tyres Rapid,Car, CHARLIE TRANSPORT LTD,Big,January,East,17,143.14,125.09
12,Car Tyres Rapid,Car, charlie transport ltd ,Big,January,North,60,139.93,470.32
13,Car Tyres Rapid,Car,delta vehicles pvt ltd ,Big,January,East,57,179.94,602.58
14,Car Tyres Rapid,Car, Delta Vehicles Pvt Ltd ,Big,January,West,56,103.59,310.64
15,Car Tyres Rapid,Car,Delta Vehicles Pvt Ltd,Big,January,South,29,114.84,174.15
16,Car Tyres Rapid,Car, Delta Vehicles Pvt Ltd,Big,January,South,74,187.47,717.0
17,Car Tyres Rapid,Car, ECHO MOTORS LTD,Medium,January,East,15,136.3,118.36
18,Car Tyres Rapid,Car, Echo Motors Ltd ,Medium,January,South,23,118.25,136.98
19,Car Tyres Rapid,Car,Echo Motors Ltd,Medium,January,West,92,178.49,981.68
20,Car Tyres Rapid,Car,Foxtrot Auto Ltd,Small,January,East,68,160.99,635.29
21,Car Tyres Rapid,Car,FOXTROT AUTO LTD,Small,January,West,25,155.87,203.35
22,Car Tyres Rapid,Car,FOXTROT AUTO LTD,Small,January,South,48,150.87,394.38
23,Car Tyres Rapid,Car,foxtrot auto ltd ,Small,January,Central,80,117.47,500.41
24,Car Tyres Rapid,Car, GOLF MOTOR COMPANY,Small,January,East,53,114.85,313.97
25,Car Tyres Rapid,Car, GOLF MOTOR COMPANY,Small,January,Central,57,178.51,608.12
26,Car Tyres Rapid,Car,golf motor company,Small,January,Central,29,127.47,198.81
27,Car Tyres Rapid,Car,golf motor company,Small,January,South,28,116.8,183.83
28,Car Tyres Rapid,Car, HOTEL WHEELS INC,Medium,January,South,92,120.21,570.74
29,Car Tyres Rapid,Car, HOTEL WHEELS INC ,Medium,January,East,74,111.58,468.53
30,Car Tyres Rapid,Car, india tyres co,Medium,January,West,54,187.49,526.5
